,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
tempRange,0.1,0.2612244897959184,0.4224489795918368,0.5836734693877551,0.7448979591836735,0.9061224489795919,1.0673469387755103,1.2285714285714289,1.3897959183673472,1.5510204081632655,1.712244897959184,1.8734693877551023,2.0346938775510206,2.195918367346939,2.3571428571428577,2.518367346938776,2.6795918367346943,2.8408163265306126,3.002040816326531,3.1632653061224496,3.324489795918368,3.485714285714286,3.6469387755102045,3.808163265306123,3.969387755102041,4.130612244897959,4.291836734693877,4.4530612244897965,4.614285714285715,4.775510204081633,4.936734693877551,5.09795918367347,5.259183673469388,5.420408163265306,5.581632653061225,5.742857142857143,5.904081632653061,6.0653061224489795,6.226530612244899,6.387755102040817,6.548979591836735,6.710204081632654,6.871428571428572,7.03265306122449,7.1938775510204085,7.355102040816327,7.516326530612245,7.677551020408163,7.838775510204082,8.0
energyList,-9399.6,-9923.44,-9438.32,-9462.56,-9343.76,-9305.92,-9506.08,-9316.96,-9152.88,-9043.68,-8715.92,-8178.08,-7754.16,-7329.04,-6408.48,-5306.08,-4909.76,-4445.84,-4082.0,-3767.12,-3556.08,-3338.64,-3088.08,-2970.16,-2813.2,-2675.04,-2558.64,-2452.24,-2362.64,-2249.92,-2152.56,-2056.32,-2007.2,-1958.16,-1889.76,-1808.4,-1745.04,-1729.68,-1663.52,-1652.24,-1598.72,-1565.92,-1514.0,-1481.12,-1472.16,-1404.08,-1342.64,-1361.92,-1320.24,-1278.08
magList,0.44171999999999995,0.973032,0.08214400000000001,0.145872,0.144376,0.11707200000000001,0.647432,0.04152,0.293464,0.44834399999999996,0.285784,0.06319999999999998,0.21279199999999998,0.594104,0.363336,0.10010399999999998,0.08081600000000001,0.05710399999999999,0.05927999999999999,0.04769599999999999,0.045647999999999994,0.04385600000000001,0.03312799999999999,0.035616,0.035224000000000005,0.03644000000000001,0.02956,0.028232000000000004,0.030448000000000003,0.030416,0.026655999999999996,0.024703999999999997,0.024736000000000008,0.023232000000000003,0.027680000000000003,0.025095999999999997,0.026407999999999997,0.024536000000000002,0.022312,0.024296,0.021896,0.022392000000000002,0.024488000000000003,0.019456,0.02564,0.02176,0.022144,0.020744,0.023336000000000006,0.019583999999999997
specHeatList,657.9551999998092,89.70456758592309,8.485312524262172,5.36638963431701,12.250884170747907,7.670453907314784,6.419523720965311,0.7480911887526155,1.8560375031804288,1.9517051931300864,2.323511552960679,2.16896713024904,1.4645162748911433,4.686445939774399,3.041237855206742,1.7344561276212571,0.9894242778425439,0.9457400694278477,0.8352543241393346,0.7215689192557798,0.6339525323402931,0.5028062112335318,0.44477041164737524,0.3928562036648486,0.29751842803048484,0.4080192834132696,0.24983194449431073,0.24432559346239063,0.25409334118031185,0.19580536136167617,0.13899342293927763,0.16928561012972887,0.16881701508930153,0.16517422287341818,0.14846273277180905,0.1489514615974818,0.11579834887195359,0.12044500772938632,0.09958012485356489,0.1230482411832317,0.08527568651932446,0.10727750041735284,0.12405892436495407,0.11259035099802107,0.07950295408786226,0.0914709245147524,0.07078011214487961,0.08128499137489727,0.06339529061013595,0.06427248000000037
suscepList,0.42255902400000045,0.017080826454999767,0.0011990088471497532,0.0005810639574825122,0.002498721067835611,0.0025079414140540546,0.023455220853231394,0.0011034292093023256,0.009311396970572679,0.008674739283368427,0.011820349161573297,0.0003670486448801763,0.0009775481009428326,0.005259740323568835,0.009508173098666675,0.002428080554424636,0.0006868483918964199,0.0005251258133333336,0.00047252122365737647,0.00031879070720000044,0.0002998848416451809,0.00021600349377049147,0.0002509610586681592,0.00016852884167202568,0.00020497171710025694,0.00017683809486165997,0.0001098103281027104,9.141912843263052e-05,8.066724061919498e-05,0.0001012418198974359,8.450186000826795e-05,8.737182232185753e-05,7.974878422972442e-05,6.168313638554215e-05,5.607878903107854e-05,5.188030567164182e-05,5.791463554787419e-05,5.1355809205921914e-05,6.109782151425764e-05,4.5464295258785944e-05,4.1000888800249335e-05,4.3521528175182456e-05,5.211310170478166e-05,3.6175716587347625e-05,4.666256794326242e-05,2.9593607103218652e-05,3.433316300841706e-05,3.182223906432752e-05,3.771046939859408e-05,2.9555968000000005e-05
