,0,1,2,3,4
tempRange,0.1,2.575,5.05,7.525,10.0
energyList,-0.9904444444444443,-0.19142222222222224,-0.09633333333333334,-0.06475555555555555,-0.0594
magList,0.9904444444444443,0.19142222222222224,0.09633333333333334,0.06475555555555555,0.0594
specHeatList,0.00048122633744857035,1.0554194416030758e-07,2.048993555999041e-08,1.1235462551861243e-08,5.632842249657064e-09
suscepList,0.0,0.0,0.0,0.0,0.0
